Age,Gender,Time_on_platform,Devices_connected,Subscription_type,Num_active_profiles,Avg_rating
49,Male,4700,3,Basic,3,3
69,Female,6107,2,Standard,1,2
44,Male,6374,3,Premium,1,1
54,Male,3024,2,Basic,1,3
62,Female,5569,2,Standard,2,4
56,Male,462,1,Standard,4,3
25,Female,3783,3,Standard,2,2
21,Female,112,2,Basic,3,2
56,Male,7258,5,Standard,3,2
44,Male,5170,3,Premium,4,2
44,Female,4396,3,Standard,2,1
30,Male,2306,3,Premium,5,3
44,Female,2905,3,Premium,1,1
60,Female,8503,3,Standard,5,3
20,Male,2542,5,Basic,1,3
18,Female,4796,2,Standard,1,3
49,Female,1015,1,Standard,1,3
47,Female,4396,3,Basic,2,3
32,Male,4396,1,Basic,1,3
63,Female,249,2,Standard,5,2
41,Male,4396,1,Premium,1,1
53,Female,4467,4,Standard,4,2
44,Male,4396,3,Standard,2,3
44,Male,5964,3,Basic,4,1
33,Male,4396,3,Premium,5,2
27,Male,1209,4,Standard,5,2
20,Male,4396,2,Standard,3,2
67,Male,5478,3,Premium,1,4
28,Female,87,4,Basic,5,3
44,Male,4396,2,Premium,2,3
41,Female,2323,3,Standard,3,1
59,Male,4396,3,Basic,4,4
27,Female,6206,3,Standard,1,3
34,Male,5776,3,Premium,2,2
69,Female,8655,2,Premium,5,3
30,Female,5310,3,Standard,2,4
34,Male,2648,5,Standard,2,3
41,Male,6239,5,Standard,2,3
58,Female,708,3,Basic,4,3
38,Female,4396,3,Basic,3,4
47,Male,280,1,Standard,2,3
67,Male,7256,4,Premium,1,3
47,Female,1377,5,Standard,3,3
45,Male,7854,3,Standard,5,3
44,Female,7467,3,Standard,4,3
42,Female,5428,2,Basic,5,3
62,Female,8190,3,Basic,4,4
18,Female,4396,3,Standard,2,1
50,Male,7391,4,Basic,2,3
39,Male,4396,2,Standard,1,1
45,Female,7966,2,Standard,5,3
51,Female,5815,3,Standard,4,3
44,Male,1298,1,Premium,5,1
48,Female,6487,2,Standard,4,3
54,Female,4893,3,Basic,5,1
57,Female,4396,4,Basic,5,3
44,Male,4396,3,Standard,1,3
29,Female,3597,3,Basic,4,3
22,Female,4396,3,Standard,2,1
33,Female,4396,4,Premium,3,2
60,Male,4396,3,Premium,5,4
55,Female,1430,3,Premium,2,3
38,Male,4811,1,Standard,2,1
32,Female,5230,3,Standard,4,3
48,Male,6721,5,Standard,3,2
60,Male,4678,2,Standard,1,3
33,Male,5254,2,Premium,5,3
32,Male,3056,4,Premium,5,1
41,Male,4396,3,Premium,5,3
22,Male,3398,1,Basic,3,2
58,Female,8711,3,Standard,3,3
41,Male,4093,1,Basic,4,3
41,Male,4396,3,Basic,1,3
42,Male,5251,5,Standard,4,2
22,Male,4396,2,Standard,1,1
36,Male,5639,2,Premium,2,4
44,Female,4396,5,Standard,5,3
46,Female,1370,5,Basic,4,1
64,Male,3860,5,Premium,3,4
26,Female,4396,2,Basic,4,4
44,Female,7664,1,Basic,1,1
68,Female,4185,3,Basic,5,4
69,Male,755,2,Standard,2,4
40,Female,5381,3,Standard,2,2
22,Male,5709,2,Basic,2,3
31,Male,4396,2,Standard,1,2
50,Female,8233,4,Premium,1,3
58,Female,5760,3,Premium,1,1
41,Female,7779,4,Standard,3,3
28,Male,1647,3,Standard,3,4
38,Male,4396,3,Standard,4,3
54,Male,581,1,Standard,5,1
58,Male,1953,3,Standard,4,2
20,Male,4898,3,Standard,5,3
53,Male,3927,5,Standard,1,3
68,Female,4396,3,Basic,2,3
65,Female,7094,3,Basic,5,2
41,Female,54,1,Standard,5,3
29,Female,5446,3,Standard,2,4
44,Female,1391,5,Basic,3,1
52,Male,588,1,Premium,1,1
21,Female,4396,3,Basic,5,4
44,Male,8516,3,Standard,4,2
43,Male,4920,3,Standard,3,2
50,Male,8482,3,Standard,4,3
26,Female,2690,2,Basic,5,3
44,Female,6509,3,Standard,2,2
45,Female,5479,3,Premium,3,3
44,Female,4396,3,Basic,3,4
57,Male,4396,2,Standard,3,4
34,Male,8146,4,Standard,5,3
22,Female,3434,4,Basic,4,3
54,Female,8030,3,Standard,2,1
40,Female,4601,5,Standard,3,3
44,Female,6454,4,Standard,5,4
27,Female,1097,2,Basic,2,4
38,Female,4396,3,Standard,2,1
44,Male,7398,5,Premium,2,1
57,Male,4396,3,Standard,1,3
26,Female,3737,3,Basic,5,1
38,Female,590,3,Premium,5,4
24,Male,5104,3,Premium,5,2
46,Female,1235,3,Premium,5,4
44,Female,4396,3,Basic,3,1
44,Female,6921,2,Standard,3,3
51,Male,4396,5,Standard,2,3
20,Male,4396,1,Standard,2,3
44,Female,3856,1,Premium,5,3
47,Male,4396,3,Basic,2,3
59,Male,4396,1,Premium,1,1
54,Female,4396,3,Basic,2,3
68,Female,4396,5,Standard,5,2
69,Female,7051,5,Standard,4,1
59,Male,1359,3,Standard,1,3
59,Female,4396,2,Standard,5,1
55,Female,6863,3,Standard,2,4
55,Female,7959,3,Basic,5,4
47,Female,6798,3,Standard,4,3
54,Male,7178,3,Basic,1,3
20,Male,4396,3,Standard,1,3
53,Female,4740,1,Premium,3,2
62,Female,4713,1,Standard,5,4
44,Male,8097,2,Standard,3,2
48,Male,4075,4,Standard,3,3
32,Male,4070,3,Premium,1,4
44,Male,5062,1,Standard,2,4
26,Male,1790,4,Standard,2,1
44,Female,6005,5,Premium,5,3
43,Female,4043,3,Standard,4,4
44,Male,4396,3,Premium,4,2
29,Male,4882,3,Standard,1,1
19,Male,1939,5,Premium,3,1
68,Male,7230,3,Premium,2,1
20,Female,5089,1,Standard,3,1
48,Female,1406,1,Standard,1,4
35,Male,2933,2,Standard,4,3
59,Female,356,5,Premium,1,3
61,Male,308,4,Basic,1,1
35,Female,5086,3,Basic,1,3
42,Female,8208,4,Premium,4,2
44,Male,143,3,Standard,5,2
52,Female,44,3,Standard,5,2
47,Female,4570,3,Standard,5,3
44,Male,663,1,Standard,2,3
44,Male,2890,3,Basic,4,2
28,Female,7350,4,Basic,5,3
21,Male,1130,2,Standard,4,2
67,Female,6525,4,Standard,5,4
24,Female,392,3,Standard,1,3
56,Male,4396,3,Standard,4,4
26,Male,2020,3,Premium,1,2
42,Male,4396,3,Standard,2,3
61,Male,7338,1,Basic,3,1
53,Male,4396,5,Premium,3,2
60,Female,4845,3,Standard,3,3
54,Female,5191,3,Standard,3,3
44,Male,4396,3,Premium,3,2
59,Female,4242,3,Standard,1,2
67,Female,4396,3,Standard,4,3
